genename	bnum	geneid	isNonUnique
ccmB	b2200	gene2254	FALSE
slyX	b3348	gene3409	FALSE
ppiC	b3775	gene3856	FALSE
ydgC	b1607	gene1645	FALSE
pqiB	b0951	gene965	FALSE
pqiC	b0952	gene966	FALSE
pqiA	b0950	gene964	FALSE
yjdQ	b4654	gene4220	FALSE
yjdP	b4487	gene4176	FALSE
adhP	b1478	gene1512	FALSE
cdd	b2143	gene2197	FALSE
yhhN	b3468	gene3528	FALSE
yhhM	b3467	gene3527	FALSE
minC	b1176	gene1193	FALSE
minD	b1175	gene1192	FALSE
minE	b1174	gene1191	FALSE
yhhI	b3484	gene3545	FALSE
yhhH	b3483	gene3543	FALSE
yhhW	b3439	gene3498	FALSE
xerD	b2894	gene2956	FALSE
yjdC	b4135	gene4222	FALSE
yhhT	b3474	gene3534	FALSE
yhhS	b3473	gene3533	FALSE
adhE	b1241	gene1263	FALSE
yjdF	b4121	gene4206	FALSE
yjdI	b4126	gene4211	FALSE
yafX	b0248	gene250	FALSE
yjdK	b4128	gene4213	FALSE
yjdJ	b4127	gene4212	FALSE
der	b2511	gene2572	FALSE
yhhZ	b3442	gene3502	FALSE
yhhY	b3441	gene3501	FALSE
yafY	b0251	gene253	FALSE
yfdM	b2356	gene2411	FALSE
yfdL	b2355	gene2410	FALSE
yhfK	b3358	gene3420	FALSE
yfdN	b2357	gene2412	FALSE
flgE	b1076	gene1089	FALSE
yfdK	b2354	gene2409	FALSE
yfdE	b2371	gene2429	FALSE
sgcE	b4301	gene4388	FALSE
slyA	b1642	gene1681	FALSE
sgcC	b4304	gene4392	FALSE
sgcB	b4565	gene4393	FALSE
yfdC	b2347	gene2402	FALSE
yhfY	b3382	gene3443	FALSE
lptD	b0054	gene53	FALSE
yhfZ	b3383	gene3444	FALSE
yfdY	b2377	gene2435	FALSE
yfdX	b2375	gene2433	FALSE
lptE	b0641	gene655	FALSE
cheR	b1884	gene1932	FALSE
yhfS	b3376	gene3437	FALSE
yfdV	b2372	gene2430	FALSE
yfdQ	b2360	gene2415	FALSE
gsk	b0477	gene482	FALSE
yfdS	b2362	gene2417	FALSE
mcrA	b1159	gene1173	FALSE
ygcS	b2771	gene2831	FALSE
flgH	b1079	gene1092	FALSE
hofM	b3395	gene3456	FALSE
yhjE	b3523	gene3588	FALSE
gloA	b1651	gene1690	FALSE
gloB	b0212	gene210	FALSE
entF	b0586	gene601	FALSE
wecD	b3790	gene3869	FALSE
